coef,mean,var
Intercept,-1.5874056915883938,0.28638342800508276
Datasetitrust,-0.1595533493533854,0.28137959085727765
happyTRUE,0.45861063252458417,0.20744409778184814
outlinks,0.2724366215759159,0.09904134054595853
uidesign,-0.003991520076436,0.46694899373406384
alternative,0.3714409974164056,0.4289257444488258
clarification,0.29424960116835563,0.31096213908879783
coherence,0.399854742278387,0.1999210397715515
anaphora,-0.07935116109805075,0.26495931499104924
passive,0.23149156505119514,0.25401665177967897
negation,-0.1141983210736322,0.2300283358891144
sencomplexity,0.21714723701394098,0.211411817920151
maxsteplength,-0.044656318959147234,0.2179605388727358
size,-0.003622415263891904,0.08322942859501668
inconsistentloa,0.46753125342595603,0.35032974463016453
lostfrTRUE,0.29259070975578233,0.3340260151268846
nonnounstart,0.14989900422828867,0.24494388109253526
maxinlinks,-0.12545246648602235,0.08559944649835244
