coef,mean,var
Intercept,0.5720143932085171,0.344992425670278
Datasetitrust,-0.012912175159199032,0.1758250939431481
sencomplexity,-0.07927004966654144,0.06215274393371882
maxsteplength,0.008835559392895093,0.015458833023151519
size,0.005696437398538567,0.008910113054534983
inconsistentloa,0.017262580889454114,0.191182322437794
uidesign,0.02708267647881377,0.19435261922908761
clarification,-0.0200546194977136,0.18802639390038128
alternative,-0.020910489791810993,0.1940413501179275
coherence,-0.1285462655738767,0.16771248880602263
happyTRUE,-0.02172112728615951,0.16544374436200707
lostfrTRUE,-0.0013090645751103157,0.1987462646721849
anaphora,0.07245573867472725,0.1793183652271431
nonnounstart,-0.03107199355439931,0.1754211134869212
passive,-0.011239860079670363,0.18162641732798995
negation,-0.0018902616437494527,0.19835062295188421
outlinks,0.03886515878425246,0.04548853035006932
maxinlinks,-0.017197850401142613,0.010530946184351112
