Dataset,File,duplicate,nameproblem,scope,textorder,iounquantified,actoractor,justification,coordambiguity,uidesign,alternative,inconsistentloa,clarification,happy,size,meanactor,meanuc,coherence,outlinks,maxinlinks,anaphora,optional,nonnounstart,incompcomparison,passive,negation,maxsteplength,sencomplexity,lostfr,tp,fp,fn,Precision,Recall,F1,AP,LAG,Approach,Category,F2
etour,UC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0,4,5,0.25,0,1,0,0,0,23,7,TRUE,4,12,0,0.25,1,0.4,0.2941849816849817,6.25,FTLR,Embedding,0.625
etour,UC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0,4,5,0.25,0,1,0,0,0,23,7,TRUE,4,3,0,0.571428571428571,1,0.727272727272727,NA,NA,LiSSA,LLM,0.869565217391304
etour,UC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0,4,5,0.25,0,1,0,0,0,23,7,TRUE,3,16,1,0.157894736842105,0.75,0.260869565217391,NA,NA,lsi,Traditional,0.428571428571429
etour,UC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0,4,5,0.25,0,1,0,0,0,23,7,TRUE,4,16,0,0.2,1,0.333333333333333,NA,NA,vsm,Traditional,0.555555555555556
etour,UC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0,4,5,0.25,0,1,0,0,0,23,7,TRUE,4,16,0,0.2,1,0.333333333333333,NA,NA,IR,Embedding,0.555555555555556
etour,UC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,7,7,0.5,0,1,0,0,0,27,8,FALSE,7,12,0,0.3684210526315789,1,0.5384615384615384,0.2673259280402137,10.142857142857142,FTLR,Embedding,0.7446808510638298
etour,UC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,7,7,0.5,0,1,0,0,0,27,8,FALSE,0,3,7,0,0,0,NA,NA,vsm,Traditional,0
etour,UC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,7,7,0.5,0,1,0,0,0,27,8,FALSE,7,8,0,0.466666666666667,1,0.636363636363636,NA,NA,LiSSA,LLM,0.813953488372093
etour,UC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,7,7,0.5,0,1,0,0,0,27,8,FALSE,6,14,1,0.3,0.857142857142857,0.444444444444444,NA,NA,IR,Embedding,0.625
etour,UC10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,7,7,0.5,0,1,0,0,0,27,8,FALSE,4,4,3,0.5,0.571428571428571,0.533333333333333,NA,NA,lsi,Traditional,0.555555555555556
etour,UC11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,1,2,3,0,0,1,0,0,0,10,3,FALSE,2,3,0,0.4,1,0.571428571428572,NA,NA,lsi,Traditional,0.769230769230769
etour,UC11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,1,2,3,0,0,1,0,0,0,10,3,FALSE,1,5,1,0.16666666666666666,0.5,0.25,0.2111111111111111,5.5,FTLR,Embedding,0.3571428571428572
etour,UC11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,1,2,3,0,0,1,0,0,0,10,3,FALSE,1,3,1,0.25,0.5,0.333333333333333,NA,NA,vsm,Traditional,0.416666666666667
etour,UC11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,1,2,3,0,0,1,0,0,0,10,3,FALSE,2,11,0,0.153846153846154,1,0.266666666666667,NA,NA,LiSSA,LLM,0.476190476190476
etour,UC11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,1,2,3,0,0,1,0,0,0,10,3,FALSE,2,18,0,0.1,1,0.181818181818182,NA,NA,IR,Embedding,0.357142857142857
etour,UC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,4,7,0,0,0.5,0,0,0,22,6,FALSE,1,4,3,0.2,0.25,0.222222222222222,NA,NA,lsi,Traditional,0.238095238095238
etour,UC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,4,7,0,0,0.5,0,0,0,22,6,FALSE,4,16,0,0.2,1,0.333333333333333,NA,NA,IR,Embedding,0.555555555555556
etour,UC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,4,7,0,0,0.5,0,0,0,22,6,FALSE,0,5,4,0,0,0,0.14176257459505542,14.25,FTLR,Embedding,0
etour,UC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,4,7,0,0,0.5,0,0,0,22,6,FALSE,1,5,3,0.166666666666667,0.25,0.2,NA,NA,vsm,Traditional,0.227272727272727
etour,UC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,2,1,FALSE,0,4,7,0,0,0.5,0,0,0,22,6,FALSE,4,10,0,0.285714285714286,1,0.444444444444445,NA,NA,LiSSA,LLM,0.666666666666667
etour,UC13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0.25,0,0.75,0,0,0,14,4,FALSE,5,15,0,0.25,1,0.4,NA,NA,IR,Embedding,0.625
etour,UC13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0.25,0,0.75,0,0,0,14,4,FALSE,3,4,2,0.428571428571429,0.6,0.5,NA,NA,lsi,Traditional,0.555555555555556
etour,UC13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0.25,0,0.75,0,0,0,14,4,FALSE,1,3,4,0.25,0.2,0.222222222222222,NA,NA,vsm,Traditional,0.208333333333333
etour,UC13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0.25,0,0.75,0,0,0,14,4,FALSE,2,7,3,0.2222222222222222,0.4,0.2857142857142857,0.23047619047619045,10.2,FTLR,Embedding,0.34482758620689663
etour,UC13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0.25,0,0.75,0,0,0,14,4,FALSE,3,3,2,0.5,0.6,0.545454545454545,NA,NA,LiSSA,LLM,0.576923076923077
etour,UC14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,TRUE,4,1,FALSE,0.3333333333333333,5,7,0,0,1,0,0,0,8,2,FALSE,5,9,0,0.357142857142857,1,0.526315789473684,NA,NA,LiSSA,LLM,0.735294117647059
