sourceID;tp;fp;fn;Precision;Recall;F1;F2;AP;LAG
UC1;3;16;1;0.157894736842105;0.75;0.260869565217391;0.428571428571429;;
UC10;4;4;3;0.5;0.571428571428571;0.533333333333333;0.555555555555556;;
UC11;2;3;0;0.4;1;0.571428571428572;0.769230769230769;;
UC12;1;4;3;0.2;0.25;0.222222222222222;0.238095238095238;;
UC13;3;4;2;0.428571428571429;0.6;0.5;0.555555555555556;;
UC14;3;1;2;0.75;0.6;0.666666666666667;0.625;;
UC15;3;2;3;0.6;0.5;0.545454545454545;0.517241379310345;;
UC16;3;4;1;0.428571428571429;0.75;0.545454545454545;0.652173913043478;;
UC17;6;2;6;0.75;0.5;0.6;0.535714285714286;;
UC18;4;6;1;0.4;0.8;0.533333333333333;0.666666666666667;;
UC19;4;6;5;0.4;0.444444444444444;0.421052631578947;0.434782608695652;;
UC2;4;13;2;0.235294117647059;0.666666666666667;0.347826086956522;0.487804878048781;;
UC20;5;4;7;0.555555555555556;0.416666666666667;0.476190476190476;0.43859649122807;;
UC21;5;4;2;0.555555555555556;0.714285714285714;0.625;0.675675675675676;;
UC22;4;5;1;0.444444444444444;0.8;0.571428571428571;0.689655172413793;;
UC23;5;4;2;0.555555555555556;0.714285714285714;0.625;0.675675675675676;;
UC24;0;0;10;1;0;0;0;;
UC25;0;1;3;0;0;0;0;;
UC26;0;0;2;1;0;0;0;;
UC27;0;0;1;1;0;0;0;;
UC28;4;3;1;0.571428571428571;0.8;0.666666666666667;0.740740740740741;;
UC29;1;4;0;0.2;1;0.333333333333333;0.555555555555556;;
UC3;3;12;3;0.2;0.5;0.285714285714286;0.384615384615385;;
UC30;4;3;0;0.571428571428571;1;0.727272727272727;0.869565217391304;;
UC31;2;1;1;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;;
UC32;1;1;1;0.5;0.5;0.5;0.5;;
UC33;0;0;6;1;0;0;0;;
UC34;0;0;5;1;0;0;0;;
UC35;0;0;4;1;0;0;0;;
UC36;0;0;2;1;0;0;0;;
UC37;0;0;0;1;1;1;1;;
UC38;5;4;5;0.555555555555556;0.5;0.526315789473684;0.510204081632653;;
UC39;6;2;4;0.75;0.6;0.666666666666667;0.625;;
UC4;2;3;7;0.4;0.222222222222222;0.285714285714286;0.24390243902439;;
UC40;4;5;3;0.444444444444444;0.571428571428571;0.5;0.540540540540541;;
UC41;4;2;2;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;;
UC42;4;2;2;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;;
UC43;2;9;5;0.181818181818182;0.285714285714286;0.222222222222222;0.256410256410256;;
UC44;2;5;1;0.285714285714286;0.666666666666667;0.4;0.526315789473684;;
UC45;0;3;4;0;0;0;0;;
UC46;5;4;1;0.555555555555556;0.833333333333333;0.666666666666667;0.757575757575758;;
UC47;0;0;7;1;0;0;0;;
UC48;5;5;0;0.5;1;0.666666666666667;0.833333333333333;;
UC49;2;4;4;0.333333333333333;0.333333333333333;0.333333333333333;0.333333333333333;;
UC5;2;13;2;0.133333333333333;0.5;0.210526315789474;0.32258064516129;;
UC50;4;2;3;0.666666666666667;0.571428571428571;0.615384615384615;0.588235294117647;;
UC51;0;0;5;1;0;0;0;;
UC52;0;0;6;1;0;0;0;;
UC53;0;0;6;1;0;0;0;;
UC54;0;0;8;1;0;0;0;;
UC55;0;0;3;1;0;0;0;;
UC56;0;0;4;1;0;0;0;;
UC57;0;8;1;0;0;0;0;;
UC58;0;0;4;1;0;0;0;;
UC6;2;5;1;0.285714285714286;0.666666666666667;0.4;0.526315789473684;;
UC7;4;3;0;0.571428571428571;1;0.727272727272727;0.869565217391304;;
UC8;2;6;3;0.25;0.4;0.307692307692308;0.357142857142857;;
UC9;0;2;8;0;0;0;0;;
