sourceID;tp;fp;fn;Precision;Recall;F1;F2;AP;LAG
UC1;4;3;0;0.571428571428571;1;0.727272727272727;0.869565217391304;;
UC10;7;8;0;0.466666666666667;1;0.636363636363636;0.813953488372093;;
UC11;2;11;0;0.153846153846154;1;0.266666666666667;0.476190476190476;;
UC12;4;10;0;0.285714285714286;1;0.444444444444445;0.666666666666667;;
UC13;3;3;2;0.5;0.6;0.545454545454545;0.576923076923077;;
UC14;5;9;0;0.357142857142857;1;0.526315789473684;0.735294117647059;;
UC15;4;9;2;0.307692307692308;0.666666666666667;0.421052631578947;0.540540540540541;;
UC16;3;5;1;0.375;0.75;0.5;0.625;;
UC17;8;4;4;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;;
UC18;3;6;2;0.333333333333333;0.6;0.428571428571429;0.517241379310345;;
UC19;4;6;5;0.4;0.444444444444444;0.421052631578947;0.434782608695652;;
UC2;6;4;0;0.6;1;0.75;0.882352941176471;;
UC20;8;7;4;0.533333333333333;0.666666666666667;0.592592592592593;0.634920634920635;;
UC21;6;4;1;0.6;0.857142857142857;0.705882352941176;0.789473684210526;;
UC22;4;4;1;0.5;0.8;0.615384615384615;0.714285714285714;;
UC23;6;3;1;0.666666666666667;0.857142857142857;0.75;0.810810810810811;;
UC24;8;7;2;0.533333333333333;0.8;0.64;0.727272727272727;;
UC25;1;9;2;0.1;0.333333333333333;0.153846153846154;0.227272727272727;;
UC26;1;8;1;0.111111111111111;0.5;0.181818181818182;0.294117647058824;;
UC27;1;8;0;0.111111111111111;1;0.2;0.384615384615385;;
UC28;4;5;1;0.444444444444444;0.8;0.571428571428571;0.689655172413793;;
UC29;1;10;0;0.0909090909090909;1;0.166666666666667;0.333333333333333;;
UC3;6;6;0;0.5;1;0.666666666666667;0.833333333333333;;
UC30;4;8;0;0.333333333333333;1;0.5;0.714285714285714;;
UC31;3;3;0;0.5;1;0.666666666666667;0.833333333333333;;
UC32;0;1;2;0;0;0;0;;
UC33;5;4;1;0.555555555555556;0.833333333333333;0.666666666666667;0.757575757575758;;
UC34;1;10;4;0.0909090909090909;0.2;0.125;0.161290322580645;;
UC35;3;1;1;0.75;0.75;0.75;0.75;;
UC36;1;2;1;0.333333333333333;0.5;0.4;0.454545454545455;;
UC37;0;0;0;1;1;1;1;;
UC38;9;5;1;0.642857142857143;0.9;0.75;0.833333333333333;;
UC39;10;3;0;0.769230769230769;1;0.869565217391304;0.943396226415095;;
UC4;5;3;4;0.625;0.555555555555556;0.588235294117647;0.568181818181818;;
UC40;6;4;1;0.6;0.857142857142857;0.705882352941176;0.789473684210526;;
UC41;4;1;2;0.8;0.666666666666667;0.727272727272727;0.689655172413793;;
UC42;5;5;1;0.5;0.833333333333333;0.625;0.735294117647059;;
UC43;6;11;1;0.352941176470588;0.857142857142857;0.5;0.666666666666667;;
UC44;2;5;1;0.285714285714286;0.666666666666667;0.4;0.526315789473684;;
UC45;3;10;1;0.230769230769231;0.75;0.352941176470588;0.517241379310345;;
UC46;5;7;1;0.416666666666667;0.833333333333333;0.555555555555556;0.694444444444445;;
UC47;7;3;0;0.7;1;0.823529411764706;0.921052631578948;;
UC48;5;10;0;0.333333333333333;1;0.5;0.714285714285714;;
UC49;2;6;4;0.25;0.333333333333333;0.285714285714286;0.3125;;
UC5;4;7;0;0.363636363636364;1;0.533333333333333;0.740740740740741;;
UC50;4;9;3;0.307692307692308;0.571428571428571;0.4;0.487804878048781;;
UC51;2;5;3;0.285714285714286;0.4;0.333333333333333;0.37037037037037;;
UC52;4;6;2;0.4;0.666666666666667;0.5;0.588235294117647;;
UC53;1;9;5;0.1;0.166666666666667;0.125;0.147058823529412;;
UC54;2;7;6;0.222222222222222;0.25;0.235294117647059;0.24390243902439;;
UC55;0;1;3;0;0;0;0;;
UC56;2;3;2;0.4;0.5;0.444444444444445;0.476190476190476;;
UC57;1;11;0;0.0833333333333333;1;0.153846153846154;0.3125;;
UC58;0;11;4;0;0;0;0;;
UC6;3;8;0;0.272727272727273;1;0.428571428571429;0.652173913043478;;
UC7;4;3;0;0.571428571428571;1;0.727272727272727;0.869565217391304;;
UC8;4;9;1;0.307692307692308;0.8;0.444444444444444;0.606060606060606;;
UC9;8;6;0;0.571428571428571;1;0.727272727272727;0.869565217391304;;
