sourceID,tp,fp,fn,Precision,Recall,F1,F2,AP,LAG
UC1,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC10,6,14,1,0.3,0.857142857142857,0.444444444444444,0.625,,
UC11,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC12,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC13,5,15,0,0.25,1,0.4,0.625,,
UC14,5,15,0,0.25,1,0.4,0.625,,
UC15,5,15,1,0.25,0.833333333333333,0.384615384615385,0.568181818181818,,
UC16,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC17,9,11,3,0.45,0.75,0.5625,0.661764705882353,,
UC18,4,16,1,0.2,0.8,0.32,0.5,,
UC19,8,12,1,0.4,0.888888888888889,0.551724137931035,0.714285714285714,,
UC2,6,14,0,0.3,1,0.461538461538462,0.681818181818182,,
UC20,9,11,3,0.45,0.75,0.5625,0.661764705882353,,
UC21,6,14,1,0.3,0.857142857142857,0.444444444444444,0.625,,
UC22,5,15,0,0.25,1,0.4,0.625,,
UC23,6,14,1,0.3,0.857142857142857,0.444444444444444,0.625,,
UC24,8,12,2,0.4,0.8,0.533333333333333,0.666666666666667,,
UC25,1,19,2,0.05,0.333333333333333,0.0869565217391305,0.15625,,
UC26,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC27,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC28,5,15,0,0.25,1,0.4,0.625,,
UC29,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC3,6,14,0,0.3,1,0.461538461538462,0.681818181818182,,
UC30,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC31,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC32,1,19,1,0.05,0.5,0.0909090909090909,0.178571428571429,,
UC33,5,15,1,0.25,0.833333333333333,0.384615384615385,0.568181818181818,,
UC34,1,19,4,0.05,0.2,0.08,0.125,,
UC35,3,17,1,0.15,0.75,0.25,0.416666666666667,,
UC36,2,18,0,0.1,1,0.181818181818182,0.357142857142857,,
UC37,0,20,0,0,1,0,0,,
UC38,9,11,1,0.45,0.9,0.6,0.75,,
UC39,10,10,0,0.5,1,0.666666666666667,0.833333333333333,,
UC4,7,13,2,0.35,0.777777777777778,0.482758620689655,0.625,,
UC40,7,13,0,0.35,1,0.518518518518519,0.729166666666667,,
UC41,5,15,1,0.25,0.833333333333333,0.384615384615385,0.568181818181818,,
UC42,5,15,1,0.25,0.833333333333333,0.384615384615385,0.568181818181818,,
UC43,6,14,1,0.3,0.857142857142857,0.444444444444444,0.625,,
UC44,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC45,3,17,1,0.15,0.75,0.25,0.416666666666667,,
UC46,6,14,0,0.3,1,0.461538461538462,0.681818181818182,,
UC47,7,13,0,0.35,1,0.518518518518519,0.729166666666667,,
UC48,5,15,0,0.25,1,0.4,0.625,,
UC49,2,18,4,0.1,0.333333333333333,0.153846153846154,0.227272727272727,,
UC5,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC50,4,16,3,0.2,0.571428571428571,0.296296296296296,0.416666666666667,,
UC51,4,16,1,0.2,0.8,0.32,0.5,,
UC52,6,14,0,0.3,1,0.461538461538462,0.681818181818182,,
UC53,2,18,4,0.1,0.333333333333333,0.153846153846154,0.227272727272727,,
UC54,3,17,5,0.15,0.375,0.214285714285714,0.288461538461539,,
UC55,2,18,1,0.1,0.666666666666667,0.173913043478261,0.3125,,
UC56,3,17,1,0.15,0.75,0.25,0.416666666666667,,
UC57,1,19,0,0.05,1,0.0952380952380952,0.208333333333333,,
UC58,0,20,4,0,0,0,0,,
UC6,3,17,0,0.15,1,0.260869565217391,0.46875,,
UC7,4,16,0,0.2,1,0.333333333333333,0.555555555555556,,
UC8,4,16,1,0.2,0.8,0.32,0.5,,
UC9,8,12,0,0.4,1,0.571428571428572,0.769230769230769,,
