sourceID;tp;fp;fn;Precision;Recall;F1;F2;AP;LAG
UC1;4;16;0;0.2;1;0.333333333333333;0.555555555555556;;
UC10;0;3;7;0;0;0;0;;
UC11;1;3;1;0.25;0.5;0.333333333333333;0.416666666666667;;
UC12;1;5;3;0.166666666666667;0.25;0.2;0.227272727272727;;
UC13;1;3;4;0.25;0.2;0.222222222222222;0.208333333333333;;
UC14;2;3;3;0.4;0.4;0.4;0.4;;
UC15;2;3;4;0.4;0.333333333333333;0.363636363636364;0.344827586206897;;
UC16;2;4;2;0.333333333333333;0.5;0.4;0.454545454545455;;
UC17;4;1;8;0.8;0.333333333333333;0.470588235294118;0.377358490566038;;
UC18;4;12;1;0.25;0.8;0.380952380952381;0.555555555555556;;
UC19;4;5;5;0.444444444444444;0.444444444444444;0.444444444444444;0.444444444444444;;
UC2;4;13;2;0.235294117647059;0.666666666666667;0.347826086956522;0.487804878048781;;
UC20;4;4;8;0.5;0.333333333333333;0.4;0.357142857142857;;
UC21;4;7;3;0.363636363636364;0.571428571428571;0.444444444444444;0.512820512820513;;
UC22;4;8;1;0.333333333333333;0.8;0.470588235294118;0.625;;
UC23;5;7;2;0.416666666666667;0.714285714285714;0.526315789473684;0.625;;
UC24;0;3;10;0;0;0;0;;
UC25;0;2;3;0;0;0;0;;
UC26;0;3;2;0;0;0;0;;
UC27;0;2;1;0;0;0;0;;
UC28;4;7;1;0.363636363636364;0.8;0.5;0.645161290322581;;
UC29;1;4;0;0.2;1;0.333333333333333;0.555555555555556;;
UC3;1;6;5;0.142857142857143;0.166666666666667;0.153846153846154;0.161290322580645;;
UC30;4;5;0;0.444444444444444;1;0.615384615384615;0.8;;
UC31;3;3;0;0.5;1;0.666666666666667;0.833333333333333;;
UC32;1;2;1;0.333333333333333;0.5;0.4;0.454545454545455;;
UC33;0;0;6;1;0;0;0;;
UC34;2;7;3;0.222222222222222;0.4;0.285714285714286;0.344827586206897;;
UC35;0;0;4;1;0;0;0;;
UC36;0;0;2;1;0;0;0;;
UC37;0;0;0;1;1;1;1;;
UC38;3;3;7;0.5;0.3;0.375;0.326086956521739;;
UC39;4;3;6;0.571428571428571;0.4;0.470588235294118;0.425531914893617;;
UC4;1;1;8;0.5;0.111111111111111;0.181818181818182;0.131578947368421;;
UC40;4;6;3;0.4;0.571428571428571;0.470588235294118;0.526315789473684;;
UC41;4;2;2;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;;
UC42;4;3;2;0.571428571428571;0.666666666666667;0.615384615384615;0.645161290322581;;
UC43;2;11;5;0.153846153846154;0.285714285714286;0.2;0.24390243902439;;
UC44;1;6;2;0.142857142857143;0.333333333333333;0.2;0.263157894736842;;
UC45;2;5;2;0.285714285714286;0.5;0.363636363636364;0.434782608695652;;
UC46;5;5;1;0.5;0.833333333333333;0.625;0.735294117647059;;
UC47;0;1;7;0;0;0;0;;
UC48;5;6;0;0.454545454545455;1;0.625;0.806451612903226;;
UC49;0;0;6;1;0;0;0;;
UC5;2;8;2;0.2;0.5;0.285714285714286;0.384615384615385;;
UC50;4;2;3;0.666666666666667;0.571428571428571;0.615384615384615;0.588235294117647;;
UC51;0;0;5;1;0;0;0;;
UC52;0;0;6;1;0;0;0;;
UC53;0;0;6;1;0;0;0;;
UC54;0;0;8;1;0;0;0;;
UC55;0;0;3;1;0;0;0;;
UC56;0;1;4;0;0;0;0;;
UC57;0;5;1;0;0;0;0;;
UC58;0;4;4;0;0;0;0;;
UC6;0;4;3;0;0;0;0;;
UC7;4;4;0;0.5;1;0.666666666666667;0.833333333333333;;
UC8;0;4;5;0;0;0;0;;
UC9;0;0;8;1;0;0;0;;
