dataset,id,happy_ucs,large_ucs,meaningless_actor,meaningless_uc,tangled_requirements,scattered_requirements,similarity
etour,UC43,True,6,1,False,True,True,False
etour,UC31,True,4,1,False,True,True,False
etour,UC53,True,6,1,False,True,True,False
etour,UC51,True,4,1,False,True,True,False
etour,UC11,True,2,1,False,True,True,False
etour,UC12,True,2,1,False,True,True,False
etour,UC27,True,4,1,False,False,True,False
etour,UC29,True,3,1,False,False,True,False
etour,UC34,True,4,1,False,True,True,False
etour,UC33,True,6,1,False,True,True,False
etour,UC52,True,4,1,False,True,True,False
etour,UC8,True,6,1,False,True,True,True
etour,UC6,True,4,1,False,True,True,False
etour,UC7,True,6,1,False,True,True,False
etour,UC17,True,8,1,False,True,True,False
etour,UC23,True,8,1,False,True,True,False
etour,UC38,True,6,1,False,True,True,True
etour,UC49,True,2,1,False,True,True,False
etour,UC25,True,4,1,False,True,True,False
etour,UC28,True,4,1,False,True,True,False
etour,UC30,True,4,1,False,True,True,False
etour,UC41,True,8,1,False,True,True,False
etour,UC10,True,2,1,False,True,True,False
etour,UC37,True,4,1,True,False,False,False
etour,UC20,True,6,1,False,True,True,True
etour,UC4,True,4,1,False,True,True,False
etour,UC42,True,6,1,False,True,True,False
etour,UC9,True,4,1,False,True,True,False
etour,UC13,True,4,1,False,True,True,False
etour,UC36,True,3,1,False,True,True,False
etour,UC18,True,3,1,False,True,True,False
etour,UC35,True,4,1,False,True,True,False
etour,UC14,True,4,1,False,True,True,False
etour,UC19,True,6,1,False,True,True,False
etour,UC46,True,6,1,False,True,True,False
etour,UC16,True,4,1,False,True,True,False
etour,UC54,True,4,1,False,True,True,False
etour,UC15,True,6,1,False,True,True,False
etour,UC50,True,2,1,False,True,True,False
etour,UC1,True,4,1,False,True,True,False
etour,UC26,True,8,1,False,True,True,False
etour,UC39,True,8,1,False,True,True,False
etour,UC57,True,4,1,False,False,True,False
etour,UC21,True,6,1,False,True,True,False
etour,UC22,True,6,1,False,True,True,False
etour,UC32,True,3,1,False,True,True,False
etour,UC56,True,3,1,False,True,True,False
etour,UC5,True,2,1,False,True,True,False
etour,UC48,True,6,1,False,True,True,False
etour,UC44,True,6,1,False,True,True,False
etour,UC2,True,6,1,False,True,True,False
etour,UC24,True,2,1,False,True,True,False
etour,UC47,True,6,1,False,True,True,False
etour,UC45,True,2,1,False,True,True,False
etour,UC3,True,6,1,False,True,True,True
etour,UC58,True,2,1,False,True,True,False
etour,UC40,True,6,1,False,True,True,False
etour,UC55,True,3,1,False,True,True,False
itrust,UC31,True,4,0,True,False,False,False
itrust,UC11,False,13,0,True,False,False,False
itrust,UC12,True,3,0,False,False,True,False
itrust,UC27,True,4,0,True,False,False,False
itrust,UC29,True,5,0,False,True,True,False
itrust,UC34,False,41,0,True,False,False,False
itrust,UC33,False,15,0,True,False,False,False
itrust,UC8,True,2,0,True,False,False,True
itrust,UC6,True,6,0,True,False,False,False
itrust,UC17,True,7,0,True,False,False,False
itrust,UC23,False,8,0,True,False,False,False
itrust,UC38,True,4,0,True,False,False,True
itrust,UC25,False,6,0,False,True,True,False
itrust,UC28,True,3,0,False,True,True,False
itrust,UC30,False,51,0,True,False,False,False
itrust,UC10,False,13,0,True,False,False,False
itrust,UC37,True,6,0,True,False,False,False
itrust,UC4,False,7,0,True,False,False,False
itrust,UC9,True,4,0,True,False,False,False
itrust,UC13,False,3,0,False,True,True,False
itrust,UC36,True,12,0,True,False,False,False
itrust,UC18,False,6,0,True,False,False,False
itrust,UC35,True,8,0,True,False,False,False
itrust,UC19,False,10,0,True,False,False,False
itrust,UC16,False,6,0,False,True,True,False
itrust,UC15,False,15,0,True,False,False,False
itrust,UC1,False,11,0,True,False,False,False
itrust,UC26,False,16,0,True,False,False,False
itrust,UC21,False,5,0,True,False,False,False
itrust,UC22,False,16,0,True,False,False,False
itrust,UC32,False,10,0,True,False,False,False
itrust,UC5,True,2,0,True,False,False,False
itrust,UC2,False,12,0,True,False,False,False
itrust,UC24,True,5,0,False,True,False,False
itrust,UC3,False,12,0,True,False,False,True
itrust,UC40,True,19,0,True,False,False,False
