id,happy_ucs,large_ucs
UC1,True,4
UC10,True,2
UC11,True,2
UC12,True,2
UC13,True,4
UC14,True,4
UC15,True,6
UC16,True,4
UC17,True,8
UC18,True,3
UC19,True,6
UC2,True,6
UC20,True,6
UC21,True,6
UC22,True,6
UC23,True,8
UC24,True,2
UC25,True,4
UC26,True,8
UC27,True,4
UC28,True,4
UC29,True,3
UC3,True,6
UC30,True,4
UC31,True,1
UC32,True,3
UC33,True,6
UC34,True,4
UC35,True,4
UC36,True,3
UC37,True,4
UC38,True,6
UC39,True,8
UC4,True,4
UC40,True,6
UC41,True,8
UC42,True,6
UC43,True,6
UC44,True,6
UC45,True,2
UC46,True,6
UC47,True,6
UC48,True,6
UC49,True,2
UC5,True,2
UC50,True,2
UC51,True,4
UC52,True,4
UC53,True,6
UC54,True,4
UC55,True,3
UC56,True,0
UC57,True,4
UC58,True,2
UC6,True,4
UC7,True,6
UC8,True,6
UC9,True,4
UC1,False,11
UC10,False,13
UC11,False,13
UC12,True,3
UC13,False,3
UC15,False,15
UC16,False,6
UC17,True,7
UC18,False,6
UC19,False,10
UC2,False,12
UC21,False,5
UC22,False,16
UC23,False,8
UC24,True,5
UC25,False,6
UC26,False,16
UC27,True,4
UC28,True,3
UC29,True,5
UC3,False,12
UC30,False,51
UC31,True,4
UC32,False,10
UC33,False,15
UC34,False,41
UC35,True,8
UC36,True,12
UC37,True,6
UC38,True,4
UC4,False,7
UC40,True,19
UC5,True,2
UC6,True,6
UC8,True,2
UC9,True,4
