Dataset,File,duplicate,nameproblem,scope,textorder,iounquantified,actoractor,justification,coordambiguity,uidesign,alternative,inconsistentloa,clarification,happy,size,meanactor,meanuc,coherence,outlinks,maxinlinks,anaphora,optional,nonnounstart,incompcomparison,passive,negation,maxsteplength,sencomplexity,lostfr
etour,UC1,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.0,4,5,0.25,0.0,1.0,0.0,0.0,0.0,23,7,True
etour,UC2,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,1,False,0.4,6,6,0.0,0.0,1.0,0.0,0.0,0.0,28,6,True
etour,UC3,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.0,0.0,True,6,1,False,0.4,6,6,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,28,7,True
etour,UC4,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,9,6,0.0,0.0,1.0,0.0,0.0,0.0,9,2,False
etour,UC5,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,0.0,4,6,0.5,0.0,1.0,0.0,0.0,0.0,26,7,False
etour,UC6,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.0,3,6,0.25,0.0,1.0,0.0,0.0,0.0,25,8,False
etour,UC7,False,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,True,6,1,False,0.4,4,6,0.0,0.0,1.0,0.0,0.0,0.0,18,5,False
etour,UC8,False,False,False,False,True,False,False,0.0,0.0,0.16666666666666666,0.0,0.0,True,6,1,False,0.6,5,18,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,30,7,True
etour,UC9,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,8,6,0.0,0.0,1.0,0.0,0.0,0.0,10,3,False
etour,UC10,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,0.0,7,7,0.5,0.0,1.0,0.0,0.0,0.0,27,8,False
etour,UC11,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,1.0,2,3,0.0,0.0,1.0,0.0,0.0,0.0,10,3,False
etour,UC12,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,0.0,4,7,0.0,0.0,0.5,0.0,0.0,0.0,22,6,False
etour,UC13,False,False,False,False,False,False,False,0.75,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,5,7,0.25,0.0,0.75,0.0,0.0,0.0,14,4,False
etour,UC14,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,5,7,0.0,0.0,1.0,0.0,0.0,0.0,8,2,False
etour,UC15,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,True,6,1,False,0.4,6,18,0.1666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,27,6,False
etour,UC16,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.0,4,7,0.0,0.0,0.75,0.0,0.0,0.0,20,6,False
etour,UC17,False,False,False,False,False,False,False,0.0,0.0,0.125,0.0,0.0,True,8,1,False,0.4285714285714285,12,18,0.0,0.0,0.875,0.0,0.0,0.125,34,7,False
etour,UC18,False,False,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.0,0.0,True,3,1,False,0.5,5,7,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,41,9,False
etour,UC19,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,6,1,False,0.4,9,9,0.0,0.0,1.0,0.0,0.0,0.0,25,6,False
etour,UC20,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.0,0.0,True,6,1,False,0.6,12,18,0.0,0.0,1.0,0.0,0.0,0.1666666666666666,50,11,False
etour,UC21,False,False,False,False,False,False,False,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,True,6,1,False,0.2,7,18,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,28,6,False
etour,UC22,False,False,False,False,False,False,False,0.0,0.0,0.0,0.16666666666666666,0.0,True,6,1,False,0.6,5,9,0.0,0.0,1.0,0.0,0.0,0.0,11,3,False
etour,UC23,False,False,False,False,False,False,False,0.0,0.0,0.125,0.125,0.0,True,8,1,False,1.0,7,18,0.125,0.0,0.875,0.0,0.0,0.0,28,6,False
etour,UC24,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,2,1,False,0.0,10,7,0.5,0.0,0.5,0.0,0.0,0.0,25,8,False
etour,UC25,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.6666666666666666,3,7,0.25,0.0,1.0,0.0,0.0,0.0,21,5,False
etour,UC26,False,False,False,False,False,False,False,0.0,0.0,0.125,0.125,0.0,True,8,1,False,0.4285714285714285,2,3,0.25,0.0,1.0,0.0,0.0,0.0,28,9,False
etour,UC27,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,1,6,0.0,0.0,1.0,0.0,0.0,0.0,8,2,False
etour,UC28,False,False,False,False,False,False,False,0.0,0.0,0.0,0.25,0.0,True,4,1,False,0.3333333333333333,5,3,0.25,0.0,0.75,0.0,0.0,0.0,15,5,False
etour,UC29,False,False,False,False,False,False,False,0.0,0.0,0.0,0.3333333333333333,0.0,True,3,1,False,0.5,1,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,12,3,False
etour,UC30,False,False,False,False,False,False,False,0.0,0.0,0.25,0.0,0.0,True,4,1,False,0.6666666666666666,4,3,0.0,0.0,1.0,0.0,0.0,0.0,44,7,False
etour,UC31,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.6666666666666666,3,2,0.0,0.0,1.0,0.0,0.0,0.0,12,3,False
etour,UC32,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,3,1,False,0.0,2,2,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,8,3,False
etour,UC33,False,False,True,False,False,False,False,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,True,6,1,False,0.2,6,18,0.0,0.0,1.0,0.0,0.0,0.0,28,6,False
etour,UC34,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,4,1,False,0.3333333333333333,5,7,0.0,0.0,1.0,0.0,0.0,0.0,16,5,False
etour,UC35,False,False,False,False,False,False,False,0.0,0.0,0.25,0.0,0.0,True,4,1,False,0.3333333333333333,4,18,0.0,0.0,1.0,0.0,0.0,0.25,16,4,False
etour,UC36,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,True,3,1,False,0.5,2,18,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,19,4,False
